timestamp,open,high,low,close,volume
2024-12-24,255.4900,258.2100,255.2900,258.2000,23234705
2024-12-23,254.7700,255.6500,253.4500,255.2700,40858774
2024-12-20,248.0400,255.0000,245.6900,254.4900,147495267
2024-12-19,247.5000,252.0000,247.0949,249.7900,60882264
2024-12-18,252.1600,254.2800,247.7400,248.0500,56774101
2024-12-17,250.0800,253.8300,249.7800,253.4800,51356360
2024-12-16,247.9900,251.3800,247.6500,251.0400,51694753
2024-12-13,247.8150,249.2902,246.2400,248.1300,33155290
2024-12-12,246.8900,248.7400,245.6800,247.9600,32777532
2024-12-11,247.9600,250.8000,246.2601,246.4900,45205814
2024-12-10,246.8900,248.2100,245.3400,247.7700,36914806
2024-12-09,241.8300,247.2400,241.7500,246.7500,44649232
2024-12-06,242.9050,244.6300,242.0800,242.8400,36870619
2024-12-05,243.9900,244.5400,242.1300,243.0400,40033878
2024-12-04,242.8700,244.1100,241.2500,243.0100,44383935
2024-12-03,239.8100,242.7600,238.9000,242.6500,38861017
2024-12-02,237.2700,240.7900,237.1600,239.5900,48137103
2024-11-29,234.8100,237.8100,233.9700,237.3300,28481377
2024-11-27,234.4650,235.6900,233.8101,234.9300,33498439
2024-11-26,233.3300,235.5700,233.3300,235.0600,45986189
2024-11-25,231.4600,233.2450,229.7400,232.8700,90152832
2024-11-22,228.0600,230.7199,228.0600,229.8700,38168252
2024-11-21,228.8800,230.1550,225.7103,228.5200,42108327
2024-11-20,228.0600,229.9300,225.8900,229.0000,35169566
2024-11-19,226.9800,230.1600,226.6600,228.2800,36211774
2024-11-18,225.2500,229.7400,225.1700,228.0200,44686020
2024-11-15,226.4000,226.9200,224.2700,225.0000,47923696
2024-11-14,225.0200,228.8700,225.0000,228.2200,44923941
2024-11-13,224.0100,226.6500,222.7600,225.1200,48566217
2024-11-12,224.5500,225.5900,223.3550,224.2300,40398299
2024-11-11,225.0000,225.7000,221.5000,224.2300,42005602
2024-11-08,227.1700,228.6600,226.4050,226.9600,38328824
2024-11-07,224.6250,227.8750,224.5700,227.4800,42137691
2024-11-06,222.6100,226.0650,221.1900,222.7200,54561121
2024-11-05,221.7950,223.9500,221.1400,223.4500,28111338
2024-11-04,220.9900,222.7900,219.7100,222.0100,44944468
2024-11-01,220.9650,225.3500,220.2700,222.9100,65276741
2024-10-31,229.3400,229.8300,225.3700,225.9100,64370086
2024-10-30,232.6100,233.4700,229.5500,230.1000,47070907
2024-10-29,233.1000,234.3250,232.3200,233.6700,35417247
2024-10-28,233.3200,234.7300,232.5500,233.4000,36087134
2024-10-25,229.7400,233.2200,229.5700,231.4100,38802304
2024-10-24,229.9800,230.8200,228.4100,230.5700,31109503
2024-10-23,234.0800,235.1440,227.7600,230.7600,52286979
2024-10-22,233.8850,236.2200,232.6000,235.8600,38846578
2024-10-21,234.4500,236.8500,234.4500,236.4800,36254470
2024-10-18,236.1800,236.1800,234.0100,235.0000,46431472
2024-10-17,233.4300,233.8500,230.5200,232.1500,32993810
2024-10-16,231.6000,232.1200,229.8400,231.7800,34082240
2024-10-15,233.6100,237.4900,232.3700,233.8500,64751367
2024-10-14,228.7000,231.7300,228.6000,231.3000,39882085
2024-10-11,229.3000,229.4100,227.3400,227.5500,31759188
2024-10-10,227.7800,229.5000,227.1700,229.0400,28183544
2024-10-09,225.2300,229.7500,224.8300,229.5400,33591091
2024-10-08,224.3000,225.9800,223.2500,225.7700,31855693
2024-10-07,224.5000,225.6900,221.3300,221.6900,39505354
2024-10-04,227.9000,228.0000,224.1300,226.8000,37345098
2024-10-03,225.1400,226.8050,223.3200,225.6700,34044158
